employee_id,employee_name,department,course_name,assigned_date,due_date,completion_date,status,completion_time_days,is_overdue,assigned_month,days_allowed,completed_on_time
1176,Jyoti Iyer,IT,Communication Skills,2025-10-02,2025-11-05,,Pending,,True,2025-10,34,False
1016,Amit Bhat,IT,Leadership Fundamentals,2025-06-17,2025-07-15,2025-06-20,Completed,3.0,False,2025-06,28,True
1028,Manish Das,Sales,Customer Service Excellence,2025-08-16,2025-09-17,,Pending,,True,2025-08,32,False
1306,Kavya Banerjee,Marketing,Customer Service Excellence,2025-12-03,2025-12-30,2025-12-09,Completed,6.0,False,2025-12,27,True
1299,Neha Patel,Finance,SQL Fundamentals,2025-08-15,2025-09-11,,Pending,,True,2025-08,27,False
1047,Aadhya Reddy,HR,Workplace Safety,2025-08-20,2025-09-13,2025-08-23,Completed,3.0,False,2025-08,24,True
1029,Shruti Singh,Finance,Leadership Fundamentals,2026-01-16,2026-02-19,2026-01-21,Completed,5.0,False,2026-01,34,True
1308,Neha Saxena,HR,Project Management,2025-04-14,2025-05-18,,Pending,,True,2025-04,34,False
1255,Riya Saxena,IT,Anti-Harassment Training,2025-12-05,2025-12-20,2025-12-06,Completed,1.0,False,2025-12,15,True
1002,Vivaan Bhat,Marketing,Python Basics,2025-09-21,2025-10-20,,Pending,,True,2025-09,29,False
1160,Sunita Malhotra,Operations,Python Basics,2026-01-09,2026-01-30,2026-01-24,Completed,15.0,False,2026-01,21,True
1068,Divya Sharma,Operations,Excel for Business,2025-05-13,2025-06-06,,Pending,,True,2025-05,24,False
1047,Aadhya Reddy,HR,Leadership Fundamentals,2026-01-09,2026-01-31,2026-01-21,Completed,12.0,False,2026-01,22,True
1292,Varun Iyer,IT,Leadership Fundamentals,2025-11-15,2025-11-30,2025-11-22,Completed,7.0,False,2025-11,15,True
1275,Sachin Malhotra,Sales,Excel for Business,2025-10-24,2025-12-02,2025-10-31,Completed,7.0,False,2025-10,39,True
1040,Gaurav Verma,Sales,SQL Fundamentals,2025-10-05,2025-11-06,2025-10-15,Completed,10.0,False,2025-10,32,True
1312,Swati Patel,IT,Project Management,2025-11-03,2025-12-15,2025-11-11,Completed,8.0,False,2025-11,42,True
1318,Rahul Pillai,IT,Project Management,2025-11-18,2025-12-15,2025-11-30,Completed,12.0,False,2025-11,27,True
1240,Varun Kulkarni,IT,Excel for Business,2025-05-31,2025-07-10,2025-06-11,Completed,11.0,False,2025-05,40,True
1228,Neha Das,Sales,Workplace Safety,2025-12-30,2026-01-31,2026-01-03,Completed,4.0,False,2025-12,32,True
1197,Suresh Reddy,Operations,Excel for Business,2025-12-03,2025-12-28,,Pending,,True,2025-12,25,False
1151,Manish Chopra,Marketing,Customer Service Excellence,2026-01-30,2026-02-21,,Pending,,True,2026-01,22,False
1321,Kavya Ghosh,Sales,Excel for Business,2025-08-29,2025-09-22,2025-09-10,Completed,12.0,False,2025-08,24,True
1068,Divya Sharma,Operations,Python Basics,2025-04-07,2025-05-20,2025-04-15,Completed,8.0,False,2025-04,43,True
1028,Manish Das,Sales,Python Basics,2025-04-23,2025-05-15,2025-05-06,Completed,13.0,False,2025-04,22,True
1261,Kiran Singh,Finance,Anti-Harassment Training,2026-02-20,2026-03-16,2026-02-21,Completed,1.0,False,2026-02,24,True
1005,Nandini Gupta,IT,Data Security Awareness,2026-01-18,2026-02-08,2026-01-23,Completed,5.0,False,2026-01,21,True
1106,Aditya Saxena,IT,Leadership Fundamentals,2025-09-21,2025-10-11,,Pending,,True,2025-09,20,False
1119,Vihaan Sen,Operations,Python Basics,2025-11-30,2025-12-24,,Pending,,True,2025-11,24,False
1309,Sachin Sen,Operations,Communication Skills,2025-12-07,2025-12-23,2025-12-13,Completed,6.0,False,2025-12,16,True
1037,Vikram Pillai,HR,Data Security Awareness,2025-06-16,2025-07-02,2025-06-29,Completed,13.0,False,2025-06,16,True
1220,Nandini Saxena,Operations,Python Basics,2025-05-13,2025-06-10,2025-05-27,Completed,14.0,False,2025-05,28,True
1267,Pallavi Sharma,Finance,Communication Skills,2026-02-04,2026-03-09,,Pending,,True,2026-02,33,False
1187,Nitin Sinha,Operations,Excel for Business,2025-12-23,2026-01-21,2025-12-28,Completed,5.0,False,2025-12,29,True
1260,Aditya Chopra,IT,Leadership Fundamentals,2025-08-30,2025-10-02,,Pending,,True,2025-08,33,False
1075,Pranav Sinha,Finance,Python Basics,2026-01-16,2026-02-25,2026-01-31,Completed,15.0,False,2026-01,40,True
1189,Divya Banerjee,Sales,Workplace Safety,2025-07-15,2025-08-14,2025-07-23,Completed,8.0,False,2025-07,30,True
1260,Aditya Chopra,IT,Workplace Safety,2025-06-19,2025-07-06,2025-06-21,Completed,2.0,False,2025-06,17,True
1096,Deepak Pandey,Sales,Workplace Safety,2025-06-19,2025-06-29,2025-06-20,Completed,1.0,False,2025-06,10,True
1275,Sachin Malhotra,Sales,SQL Fundamentals,2025-11-26,2025-12-22,2025-12-09,Completed,13.0,False,2025-11,26,True
1051,Sara Trivedi,Marketing,Python Basics,2025-08-22,2025-10-04,,Pending,,True,2025-08,43,False
1294,Arjun Ghosh,HR,Workplace Safety,2025-07-28,2025-08-15,2025-08-02,Completed,5.0,False,2025-07,18,True
1205,Vivaan Mehta,Finance,SQL Fundamentals,2025-07-10,2025-08-09,2025-07-20,Completed,10.0,False,2025-07,30,True
1204,Diya Ghosh,Operations,Excel for Business,2025-06-15,2025-07-10,,Pending,,True,2025-06,25,False
1310,Pranav Verma,HR,Workplace Safety,2025-04-30,2025-05-15,2025-05-03,Completed,3.0,False,2025-04,15,True
1250,Sunita Desai,Operations,SQL Fundamentals,2026-01-16,2026-02-11,2026-01-22,Completed,6.0,False,2026-01,26,True
1225,Gaurav Banerjee,HR,Leadership Fundamentals,2025-09-02,2025-10-09,2025-09-08,Completed,6.0,False,2025-09,37,True
1149,Nandini Chopra,IT,Python Basics,2025-12-12,2026-01-19,2025-12-29,Completed,17.0,False,2025-12,38,True
1256,Sai Chopra,Sales,Workplace Safety,2026-01-31,2026-02-11,,Pending,,True,2026-01,11,False
1160,Sunita Malhotra,Operations,Project Management,2026-02-03,2026-03-02,2026-02-16,Completed,13.0,False,2026-02,27,True
1278,Divya Desai,Finance,Excel for Business,2026-01-19,2026-02-23,,Pending,,True,2026-01,35,False
1109,Sara Joshi,IT,Python Basics,2026-01-20,2026-02-11,,Pending,,True,2026-01,22,False
1114,Sachin Banerjee,Operations,Anti-Harassment Training,2025-11-26,2025-12-21,2025-11-30,Completed,4.0,False,2025-11,25,True
1133,Sara Sen,IT,Python Basics,2025-07-01,2025-08-09,2025-07-16,Completed,15.0,False,2025-07,39,True
1016,Amit Bhat,IT,Leadership Fundamentals,2025-05-16,2025-06-15,2025-05-20,Pending,,True,2025-05,30,False
1289,Arun Gupta,HR,Project Management,2025-09-11,2025-10-21,2025-09-24,Completed,13.0,False,2025-09,40,True
1038,Sachin Bhat,IT,Anti-Harassment Training,2025-09-15,2025-10-07,2025-09-18,Completed,3.0,False,2025-09,22,True
1030,Aditya Mishra,IT,Python Basics,2025-10-22,2025-11-29,2025-11-04,Completed,13.0,False,2025-10,38,True
1347,Sachin Pandey,Finance,Workplace Safety,2025-09-08,2025-09-26,2025-09-14,Completed,6.0,False,2025-09,18,True
1099,Aadhya Singh,IT,Communication Skills,2025-12-19,2026-01-02,2026-01-01,Completed,13.0,False,2025-12,14,True
1103,Aarav Singh,HR,Customer Service Excellence,2025-11-22,2025-12-18,2025-11-26,Completed,4.0,False,2025-11,26,True
1027,Nitin Pandey,IT,Customer Service Excellence,2025-10-02,2025-11-03,,Pending,,True,2025-10,32,False
1027,Nitin Pandey,IT,Leadership Fundamentals,2025-04-26,2025-05-17,2025-05-03,Completed,7.0,False,2025-04,21,True
1109,Sara Joshi,IT,Anti-Harassment Training,2025-08-25,2025-09-17,,Pending,,True,2025-08,23,False
1146,Vihaan Gupta,IT,Leadership Fundamentals,2025-06-01,2025-06-16,,Pending,,True,2025-06,15,False
1063,Nandini Banerjee,Operations,SQL Fundamentals,2025-07-31,2025-09-08,2025-08-10,Completed,10.0,False,2025-07,39,True
1275,Sachin Malhotra,Sales,Customer Service Excellence,2025-04-07,2025-05-07,2025-04-11,Completed,4.0,False,2025-04,30,True
1180,Sara Sinha,IT,Excel for Business,2025-05-28,2025-06-28,,Pending,,True,2025-05,31,False
1185,Aarav Saxena,HR,Anti-Harassment Training,2025-12-11,2026-01-11,2025-12-12,Completed,1.0,False,2025-12,31,True
1170,Arun Deshpande,Finance,Python Basics,2025-10-29,2025-12-04,,Pending,,True,2025-10,36,False
1032,Sai Mishra,IT,Excel for Business,2025-11-19,2025-12-23,2025-12-04,Completed,15.0,False,2025-11,34,True
1150,Deepak Rao,IT,Excel for Business,2026-01-31,2026-03-05,2026-02-12,Completed,12.0,False,2026-01,33,True
1108,Kavya Trivedi,Operations,Anti-Harassment Training,2025-05-05,2025-05-22,2025-05-06,Completed,1.0,False,2025-05,17,True
1026,Divya Kulkarni,Operations,Communication Skills,2025-09-21,2025-10-21,2025-09-30,Completed,9.0,False,2025-09,30,True
1026,Divya Kulkarni,Operations,Data Security Awareness,2025-08-22,2025-09-26,2025-08-26,Completed,4.0,False,2025-08,35,True
1022,Gaurav Sinha,IT,SQL Fundamentals,2026-01-21,2026-02-28,2026-01-30,Completed,9.0,False,2026-01,38,True
1257,Nandini Deshpande,Marketing,Anti-Harassment Training,2025-11-14,2025-12-10,2025-11-15,Completed,1.0,False,2025-11,26,True
1328,Tanya Patel,Finance,Project Management,2026-01-07,2026-02-12,2026-01-16,Completed,9.0,False,2026-01,36,True
1144,Rekha Modi,HR,Project Management,2025-07-05,2025-08-15,2025-07-17,Completed,12.0,False,2025-07,41,True
1003,Priya Mishra,Operations,Communication Skills,2025-07-28,2025-08-24,2025-08-08,Completed,11.0,False,2025-07,27,True
1208,Kavya Verma,Finance,Leadership Fundamentals,2025-10-12,2025-11-08,,Pending,,True,2025-10,27,False
1074,Sunita Sharma,Operations,Anti-Harassment Training,2025-12-09,2025-12-19,2025-12-11,Completed,2.0,False,2025-12,10,True
1058,Suresh Mishra,IT,SQL Fundamentals,2025-09-16,2025-10-06,,Pending,,True,2025-09,20,False
1293,Shruti Pillai,Operations,Leadership Fundamentals,2025-05-21,2025-06-21,,Pending,,True,2025-05,31,False
1107,Arjun Chopra,Sales,Data Security Awareness,2025-06-12,2025-07-07,,Pending,,True,2025-06,25,False
1215,Vivaan Das,Finance,Anti-Harassment Training,2025-05-08,2025-06-01,2025-05-13,Completed,5.0,False,2025-05,24,True
1282,Nitin Bhat,HR,Python Basics,2025-09-20,2025-10-30,2025-10-04,Completed,14.0,False,2025-09,40,True
1263,Nitin Das,IT,Workplace Safety,2025-09-15,2025-10-16,,Pending,,True,2025-09,31,False
1263,Nitin Das,IT,Communication Skills,2025-09-09,2025-10-13,2025-09-19,Pending,,True,2025-09,34,False
1273,Ayaan Shah,Operations,Leadership Fundamentals,2026-01-02,2026-01-18,2026-01-12,Completed,10.0,False,2026-01,16,True
1172,Sachin Deshpande,IT,Excel for Business,2026-02-17,2026-03-27,,Pending,,True,2026-02,38,False
1140,Riya Pillai,Marketing,Excel for Business,2025-05-16,2025-06-15,,Pending,,True,2025-05,30,False
1151,Manish Chopra,Marketing,Workplace Safety,2025-11-13,2025-11-28,2025-11-15,Completed,2.0,False,2025-11,15,True
